raw_category_name,canonical_category,category_group,spirit_type
100% AGAVE TEQUILA,TEQUILA,AGAVE,TEQUILA
MIXTO TEQUILA,TEQUILA,AGAVE,TEQUILA
MEZCAL,MEZCAL,AGAVE,MEZCAL
AMERICAN VODKAS,VODKA,VODKA,VODKA
IMPORTED VODKAS,VODKA,VODKA,VODKA
AMERICAN FLAVORED VODKA,VODKA,VODKA,VODKA
IMPORTED FLAVORED VODKA,VODKA,VODKA,VODKA
AMERICAN DRY GINS,GIN,GIN,GIN
IMPORTED DRY GINS,GIN,GIN,GIN
FLAVORED GIN,GIN,GIN,GIN
AMERICAN SLOE GINS,GIN,GIN,GIN
WHITE RUM,RUM,RUM,RUM
GOLD RUM,RUM,RUM,RUM
SPICED RUM,RUM,RUM,RUM
FLAVORED RUM,RUM,RUM,RUM
AGED DARK RUM,RUM,RUM,RUM
STRAIGHT BOURBON WHISKIES,WHISKEY,WHISKEY,BOURBON
SINGLE BARREL BOURBON WHISKIES,WHISKEY,WHISKEY,BOURBON
BOTTLED IN BOND BOURBON,WHISKEY,WHISKEY,BOURBON
TENNESSEE WHISKIES,WHISKEY,WHISKEY,TENNESSEE
STRAIGHT RYE WHISKIES,WHISKEY,WHISKEY,RYE
SCOTCH WHISKIES,WHISKEY,WHISKEY,SCOTCH
SINGLE MALT SCOTCH,WHISKEY,WHISKEY,SCOTCH
IRISH WHISKIES,WHISKEY,WHISKEY,IRISH
CANADIAN WHISKIES,WHISKEY,WHISKEY,CANADIAN
BLENDED WHISKIES,WHISKEY,WHISKEY,BLENDED
CORN WHISKIES,WHISKEY,WHISKEY,OTHER
COFFEE LIQUEURS,LIQUEURS,LIQUEURS,LIQUEUR
CREAM LIQUEURS,LIQUEURS,LIQUEURS,LIQUEUR
AMERICAN CORDIALS & LIQUEURS,LIQUEURS,LIQUEURS,LIQUEUR
IMPORTED CORDIALS & LIQUEURS,LIQUEURS,LIQUEURS,LIQUEUR
TRIPLE SEC,LIQUEURS,LIQUEURS,LIQUEUR
WHISKEY LIQUEUR,LIQUEURS,LIQUEURS,LIQUEUR
AMERICAN BRANDIES,BRANDY,BRANDY,BRANDY
IMPORTED BRANDIES,BRANDY,BRANDY,BRANDY
COCKTAILS/RTD,RTD,READY_TO_DRINK,RTD
NEUTRAL GRAIN SPIRITS,NEUTRAL_SPIRITS,OTHER,NEUTRAL
NEUTRAL GRAIN SPIRITS FLAVORED,NEUTRAL_SPIRITS,OTHER,NEUTRAL
AMERICAN SCHNAPPS,SCHNAPPS,LIQUEURS,LIQUEUR
IMPORTED SCHNAPPS,SCHNAPPS,LIQUEURS,LIQUEUR
AMERICAN DISTILLED SPIRITS SPECIALTY,SPECIALTY,OTHER,OTHER
IMPORTED DISTILLED SPIRITS SPECIALTY,SPECIALTY,OTHER,OTHER
SPECIAL ORDER ITEMS,SPECIAL,SPECIAL,SPECIAL
TEMPORARY & SPECIALTY PACKAGES,SPECIAL,SPECIAL,SPECIAL
