raw_vendor_name,canonical_vendor_name,notes
BACARDI USA INC,BACARDI USA,Suffix Cleanup
BACARDI USA LLC,BACARDI USA,Suffix Cleanup
BROWN FORMAN CORP.,BROWN FORMAN CORP,Suffix Cleanup
BROWN FORMAN CORPORATION,BROWN FORMAN CORP,Suffix Cleanup
CONSTELLATION BRANDS INC,CONSTELLATION BRANDS,Suffix Cleanup
CONSTELLATION BRANDS,CONSTELLATION BRANDS,Standardization
DIAGEO AMERICAS,DIAGEO AMERICAS,Standardization
DIAGEO NORTH AMERICA,DIAGEO AMERICAS,Consolidation
"FIFTH GENERATION DISTILLED SPIRITS, INC.",FIFTH GENERATION (TITO'S),Alias mapping
FIFTH GENERATION INC,FIFTH GENERATION (TITO'S),Alias mapping
SAZERAC COMPANY  INC,SAZERAC COMPANY,Double space fix
SAZERAC CO,SAZERAC COMPANY,Abbreviation fix
"BLUE MERANTI, LLC",BLUE MERANTI,Suffix Cleanup
"BLUE MERANTI, LLC/HELMSMAN IMPORTS",BLUE MERANTI,Entity split fallback
"TYCOGA VINEYARD & WINERY, LLC",TYCOGA VINEYARD,Consolidation
"TYCOGA WINERY & DISTILLERY, LLC",TYCOGA VINEYARD,Consolidation
GOAMERICAGO BEVERAGES LLC / WHISTLEPIG,WHISTLEPIG,Entity split
DES MOINES IMPORTS / DSM IMPORTS LLC,DSM IMPORTS,Entity split
MAISON FERRAND USA / COGNAC FERRAND USA INC,MAISON FERRAND USA,Entity split
KIRIN BEER & SPIRITS OF AMERICA INC / FOUR ROSES DISTILLERY,FOUR ROSES DISTILLERY,Entity split
"LONE STAR DISTILLERY, LLC/GARRISON BROTHERS DISTILLERY",GARRISON BROTHERS DISTILLERY,Entity split
"NORTHWEST NATURAL SPIRITS, LLC / CASCADE SPIRITS",CASCADE SPIRITS,Entity split
STOLLER IMPORTS INC / MARSALLE COMPANY,STOLLER IMPORTS,Entity split
VIN DIVINO LTD / GONZALEZ BYASS USA,GONZALEZ BYASS USA,Entity split
WRS CO. LLC / WRS IMPORTS,WRS IMPORTS,Entity split
USDP / UNITED STATES DISTILLED PRODUCTS CO,UNITED STATES DISTILLED PRODUCTS,Entity split
JIM BEAM BRANDS,JIM BEAM,Priority Mapping
HEAVEN HILL BRANDS,HEAVEN HILL,Priority Mapping
